# ConvBinWinogradRxS (non-fused general Winograd), gfx803 fwd path.
# Same Ceiling()-based padded_R/padded_S generalization as the already-fixed
# ConvBinWinogradRxSFused sibling. Testing whether 1x1 (the exact shape class
# that broke the fused kernel) and other non-3x3 shapes miscompute here too,
# for both stride=1 and stride=2. group=1 required (IsApplicable gate).
# Format: C H W K R S group stride pad
16 32 32 16 3 3 1 1 1
16 32 32 16 3 3 1 2 1
32 32 32 32 1 1 1 1 0
64 32 100 24 1 1 1 1 0
32 32 32 32 1 1 1 2 0
16 32 32 16 1 3 1 1 0
16 32 32 16 3 1 1 1 0
16 32 32 16 5 5 1 1 2
16 32 32 16 7 7 1 1 3
16 32 32 16 5 5 1 2 2
16 32 32 16 2 2 1 1 0
16 32 32 16 4 4 1 1 1
16 32 32 16 6 6 1 1 2
16 32 32 16 6 6 1 2 2
16 32 32 16 9 9 1 1 4
16 32 32 16 3 3 1 1 0
16 32 32 16 3 5 1 1 1
