M,K,N,solution_index,status,bad_reps,total_reps
1,1,1,537657398,clean,0,30
1,1,1,537657399,clean,0,30
1,1,1,537657400,broken,2,30
1,1,1,537657401,clean,0,30
1,1,1,537657416,broken,3,30
1,1,1,537657417,broken,16,30
1,1,1,537657423,clean,0,30
1,1,1,537657429,broken,4,30
1,1,1,55,clean,0,30
1,1,1,56,clean,0,30
8,8,8,537657391,clean,0,30
8,8,8,537657392,broken,16,30
8,8,8,537657393,broken,6,30
8,8,8,537657394,broken,30,30
8,8,8,537657395,broken,11,30
8,8,8,537657396,broken,18,30
8,8,8,537657397,clean,0,30
8,8,8,537657398,broken,25,30
8,8,8,537657399,clean,0,30
8,8,8,537657400,broken,4,30
8,8,8,537657401,clean,0,30
8,8,8,537657402,broken,10,30
8,8,8,537657403,broken,25,30
8,8,8,537657404,clean,0,30
8,8,8,537657405,broken,10,30
8,8,8,537657407,clean,0,30
8,8,8,537657408,clean,0,30
8,8,8,537657409,clean,0,30
8,8,8,537657410,clean,0,30
8,8,8,537657411,clean,0,30
8,8,8,537657413,clean,0,30
8,8,8,537657415,clean,0,30
8,8,8,537657416,clean,0,30
8,8,8,537657417,broken,25,30
8,8,8,537657418,broken,10,30
8,8,8,537657419,clean,0,30
8,8,8,537657421,broken,8,30
8,8,8,537657422,broken,17,30
8,8,8,537657423,broken,4,30
8,8,8,537657424,broken,17,30
8,8,8,537657426,clean,0,30
8,8,8,537657427,broken,10,30
8,8,8,537657428,broken,8,30
8,8,8,537657429,broken,10,30
8,8,8,537657430,clean,0,30
8,8,8,537657431,clean,0,30
8,8,8,537657433,clean,0,30
8,8,8,537657435,broken,25,30
8,8,8,537657438,clean,0,30
8,8,8,537657439,broken,5,30
8,8,8,537657441,clean,0,30
8,8,8,537657443,clean,0,30
8,8,8,537657444,clean,0,30
8,8,8,537657446,clean,0,30
8,8,8,537657448,clean,0,30
8,8,8,537657449,clean,0,30
8,8,8,537657450,clean,0,30
8,8,8,537657451,clean,0,30
8,8,8,537657452,clean,0,30
8,8,8,55,clean,0,30
8,8,8,56,clean,0,30
8,8,8,537657387,clean,0,30
8,8,8,537657388,broken,6,30
8,8,8,537657389,clean,0,30
8,8,8,537657390,clean,0,30
16,16,16,537657391,clean,0,30
16,16,16,537657392,broken,16,30
16,16,16,537657393,broken,30,30
16,16,16,537657394,broken,30,30
16,16,16,537657395,broken,30,30
16,16,16,537657396,broken,21,30
16,16,16,537657397,clean,0,30
16,16,16,537657398,broken,25,30
16,16,16,537657399,clean,0,30
16,16,16,537657400,broken,4,30
16,16,16,537657401,clean,0,30
16,16,16,537657402,broken,10,30
16,16,16,537657403,broken,25,30
16,16,16,537657404,broken,23,30
16,16,16,537657405,broken,10,30
16,16,16,537657407,clean,0,30
16,16,16,537657408,clean,0,30
16,16,16,537657409,clean,0,30
16,16,16,537657410,broken,28,30
16,16,16,537657411,broken,30,30
16,16,16,537657413,broken,25,30
16,16,16,537657415,clean,0,30
16,16,16,537657416,clean,0,30
16,16,16,537657417,broken,25,30
16,16,16,537657418,broken,10,30
16,16,16,537657419,clean,0,30
16,16,16,537657421,broken,8,30
16,16,16,537657422,broken,17,30
16,16,16,537657423,broken,4,30
16,16,16,537657424,broken,27,30
16,16,16,537657426,broken,25,30
16,16,16,537657427,broken,10,30
16,16,16,537657428,broken,30,30
16,16,16,537657429,broken,30,30
16,16,16,537657430,broken,23,30
16,16,16,537657431,clean,0,30
16,16,16,537657433,clean,0,30
16,16,16,537657435,broken,25,30
16,16,16,537657438,clean,0,30
16,16,16,537657439,broken,5,30
16,16,16,537657441,clean,0,30
16,16,16,537657443,clean,0,30
16,16,16,537657444,clean,0,30
16,16,16,537657446,clean,0,30
16,16,16,537657448,clean,0,30
16,16,16,537657449,clean,0,30
16,16,16,537657450,clean,0,30
16,16,16,537657451,clean,0,30
16,16,16,537657452,clean,0,30
16,16,16,55,clean,0,30
16,16,16,56,clean,0,30
16,16,16,537657387,clean,0,30
16,16,16,537657388,broken,30,30
16,16,16,537657389,broken,30,30
16,16,16,537657390,broken,30,30
32,32,32,537657391,broken,30,30
32,32,32,537657392,broken,30,30
32,32,32,537657393,broken,30,30
32,32,32,537657394,broken,30,30
32,32,32,537657395,broken,30,30
32,32,32,537657396,broken,27,30
32,32,32,537657397,broken,30,30
32,32,32,537657398,broken,30,30
32,32,32,537657399,broken,30,30
32,32,32,537657400,broken,30,30
32,32,32,537657401,broken,30,30
32,32,32,537657402,broken,30,30
32,32,32,537657403,broken,30,30
32,32,32,537657404,broken,30,30
32,32,32,537657405,broken,30,30
32,32,32,537657407,broken,29,30
32,32,32,537657408,broken,30,30
32,32,32,537657409,broken,30,30
32,32,32,537657410,broken,30,30
32,32,32,537657411,broken,30,30
32,32,32,537657413,broken,30,30
32,32,32,537657415,broken,30,30
32,32,32,537657416,broken,30,30
32,32,32,537657417,broken,30,30
32,32,32,537657418,broken,30,30
32,32,32,537657419,broken,30,30
32,32,32,537657421,broken,30,30
32,32,32,537657422,broken,30,30
32,32,32,537657423,broken,30,30
32,32,32,537657424,broken,30,30
32,32,32,537657426,broken,30,30
32,32,32,537657427,broken,30,30
32,32,32,537657428,broken,30,30
32,32,32,537657429,broken,30,30
32,32,32,537657430,broken,30,30
32,32,32,537657431,broken,30,30
32,32,32,537657433,broken,30,30
32,32,32,537657435,broken,30,30
32,32,32,537657438,broken,30,30
32,32,32,537657439,broken,18,30
32,32,32,537657441,clean,0,30
32,32,32,537657443,clean,0,30
32,32,32,537657444,clean,0,30
32,32,32,537657446,clean,0,30
32,32,32,537657448,clean,0,30
32,32,32,537657449,clean,0,30
32,32,32,537657450,clean,0,30
32,32,32,537657451,clean,0,30
32,32,32,537657452,clean,0,30
32,32,32,55,clean,0,30
32,32,32,56,clean,0,30
32,32,32,537657387,broken,26,30
32,32,32,537657388,broken,30,30
32,32,32,537657389,broken,30,30
32,32,32,537657390,broken,30,30
37,91,613,537657391,broken,10,30
37,91,613,537657392,broken,30,30
37,91,613,537657393,broken,5,30
37,91,613,537657394,broken,1,30
37,91,613,537657395,broken,30,30
37,91,613,537657396,broken,4,30
37,91,613,537657397,clean,0,30
37,91,613,537657398,broken,1,30
37,91,613,537657399,broken,30,30
37,91,613,537657400,broken,30,30
37,91,613,537657401,broken,30,30
37,91,613,537657402,broken,1,30
37,91,613,537657403,broken,30,30
37,91,613,537657404,broken,30,30
37,91,613,537657405,broken,30,30
37,91,613,537657407,broken,29,30
37,91,613,537657408,broken,9,30
37,91,613,537657409,broken,12,30
37,91,613,537657410,broken,30,30
37,91,613,537657411,broken,30,30
37,91,613,537657413,broken,30,30
37,91,613,537657415,broken,1,30
37,91,613,537657416,broken,29,30
37,91,613,537657417,broken,30,30
37,91,613,537657418,broken,30,30
37,91,613,537657419,broken,30,30
37,91,613,537657421,broken,30,30
37,91,613,537657422,broken,1,30
37,91,613,537657423,broken,30,30
37,91,613,537657424,broken,1,30
37,91,613,537657426,broken,1,30
37,91,613,537657427,clean,0,30
37,91,613,537657428,broken,30,30
37,91,613,537657429,broken,29,30
37,91,613,537657430,broken,30,30
37,91,613,537657431,broken,1,30
37,91,613,537657433,clean,0,30
37,91,613,537657435,broken,1,30
37,91,613,537657438,broken,30,30
37,91,613,537657439,broken,5,30
37,91,613,537657441,clean,0,30
37,91,613,537657443,clean,0,30
37,91,613,537657444,clean,0,30
37,91,613,537657446,clean,0,30
37,91,613,537657448,clean,0,30
37,91,613,537657449,clean,0,30
37,91,613,537657450,broken,30,30
37,91,613,537657451,broken,20,30
37,91,613,537657452,broken,30,30
37,91,613,55,broken,1,30
37,91,613,56,clean,0,30
37,91,613,537657387,broken,7,30
