rocblas_sweep: 21 shapes, 30 reps/solution/shape

=== shape 13/21: M=512 K=512 N=512 ===
  55 candidate solutions
M,K,N,solution_index,status,bad_reps,total_reps
512,512,512,537657393,clean,0,30
512,512,512,537657394,clean,0,30
512,512,512,537657395,clean,0,30
512,512,512,537657396,clean,0,30
512,512,512,537657397,clean,0,30
512,512,512,537657398,clean,0,30
512,512,512,537657399,clean,0,30
512,512,512,537657400,clean,0,30
512,512,512,537657401,clean,0,30
512,512,512,537657402,clean,0,30
512,512,512,537657403,clean,0,30
512,512,512,537657404,clean,0,30
512,512,512,537657405,clean,0,30
512,512,512,537657407,clean,0,30
512,512,512,537657408,clean,0,30
512,512,512,537657409,clean,0,30
512,512,512,537657410,clean,0,30
512,512,512,537657411,clean,0,30
512,512,512,537657413,clean,0,30
512,512,512,537657415,clean,0,30
512,512,512,537657416,clean,0,30
512,512,512,537657417,clean,0,30
512,512,512,537657418,clean,0,30
512,512,512,537657419,clean,0,30
512,512,512,537657421,clean,0,30
512,512,512,537657387,clean,0,30
512,512,512,537657388,clean,0,30
512,512,512,56,clean,0,30
512,512,512,537657422,clean,0,30
512,512,512,537657423,clean,0,30
512,512,512,537657424,clean,0,30
512,512,512,537657426,clean,0,30
512,512,512,537657427,clean,0,30
512,512,512,537657428,clean,0,30
512,512,512,537657429,clean,0,30
512,512,512,537657430,clean,0,30
512,512,512,537657431,clean,0,30
512,512,512,537657433,clean,0,30
512,512,512,537657435,clean,0,30
512,512,512,537657438,clean,0,30
512,512,512,537657439,clean,0,30
512,512,512,537657441,clean,0,30
512,512,512,537657443,clean,0,30
512,512,512,537657444,clean,0,30
512,512,512,537657446,clean,0,30
512,512,512,537657448,clean,0,30
512,512,512,537657449,clean,0,30
512,512,512,537657450,clean,0,30
512,512,512,537657451,clean,0,30
512,512,512,537657452,clean,0,30
512,512,512,55,clean,0,30
512,512,512,537657389,clean,0,30
512,512,512,537657390,clean,0,30
512,512,512,537657391,clean,0,30
512,512,512,537657392,clean,0,30
  shape done in 351s

=== shape 14/21: M=513 K=513 N=513 ===
  55 candidate solutions
513,513,513,537657393,clean,0,30
513,513,513,537657394,clean,0,30
513,513,513,537657395,clean,0,30
513,513,513,537657396,clean,0,30
513,513,513,537657397,clean,0,30
513,513,513,537657398,clean,0,30
513,513,513,537657399,clean,0,30
513,513,513,537657400,clean,0,30
513,513,513,537657401,clean,0,30
513,513,513,537657402,clean,0,30
513,513,513,537657403,clean,0,30
513,513,513,537657404,clean,0,30
513,513,513,537657405,clean,0,30
513,513,513,537657407,clean,0,30
513,513,513,537657408,clean,0,30
513,513,513,537657409,clean,0,30
513,513,513,537657410,clean,0,30
513,513,513,537657411,clean,0,30
513,513,513,537657413,clean,0,30
513,513,513,537657415,clean,0,30
513,513,513,537657416,clean,0,30
513,513,513,537657417,clean,0,30
513,513,513,537657418,clean,0,30
513,513,513,537657419,clean,0,30
513,513,513,537657421,clean,0,30
513,513,513,537657387,clean,0,30
